,번호,카테고리,제목,등록일,link
100,5735,[장학],2023년 2학기 「한국장학재단 취업연계유형 국가근로」 참여학생 모집(~8/30까지),2023-08-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460164&article.offset=0&articleLimit=500
101,5734,,2023-2학기 KIT 서로도움 공동체 프로그램 안내,2023-08-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460093&article.offset=0&articleLimit=500
102,5733,,2023-2학기 Teaching Assistant(TA) 멘토링 프로그램 안내,2023-08-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460014&article.offset=0&articleLimit=500
103,5732,[등록],2023학년도 2학기 등록금 납부 안내(추가),2023-08-24,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=459973&article.offset=0&articleLimit=500
104,5731,,2023-2학기 연구실 레지던트 프로그램 안내,2023-08-24,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=459972&article.offset=0&articleLimit=500
105,5730,[수업],2023-2학기 국가공휴일 휴강에 따른 보강일(공휴일지정보강기간) 안내,2023-08-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=459237&article.offset=0&articleLimit=500
106,5729,[수업],"2023-2학기 수강신청과목 변경, 정정 신청기간 안내",2023-08-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=459006&article.offset=0&articleLimit=500
107,5728,[대학원],2023학년도 2학기 학부생 일반대학원 교과목 사전이수 신청 안내,2023-08-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=458947&article.offset=0&articleLimit=500
108,5727,[수업],2023-2학기 다른대학(공주대) 수학신청 안내,2023-08-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=458681&article.offset=0&articleLimit=500
109,5726,[수업],"DGU 수강신청(21일 11~18시), OCU수강신청(21일 14~18시) 안내",2023-08-18,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=458490&article.offset=0&articleLimit=500
110,5725,[수업],2023학년도 2학기 수강꾸러미 확정 안내,2023-08-16,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=457884&article.offset=0&articleLimit=500
111,5724,[학적],★ 2023학년도 2학기 휴학/복학 신청(3차) 안내 및 직권제적/휴학연장 관련 안내,2023-08-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=457290&article.offset=0&articleLimit=500
112,5723,[수업],2023학년도 2학기 수강신청 안내,2023-08-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=457225&article.offset=0&articleLimit=500
113,5722,[장학],[마감]2023-2학기 푸름관 식당 (자체) 근로장학생  모집(8.14.~8.18.),2023-08-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=457198&article.offset=0&articleLimit=500
114,5721,[대학원],2023-2학기 대학원별 외국어시험 시행 안내,2023-08-09,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456802&article.offset=0&articleLimit=500
115,5720,[대학원],[장학] 2023학년도 2학기 대학원 스마일장학생 선발 결과 안내,2023-08-09,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456737&article.offset=0&articleLimit=500
116,5719,[수업],[학년별 수강신청] 수강신청 가능여부 확인,2023-08-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456519&article.offset=0&articleLimit=500
117,5718,[대학원],"2023학년도 후기 대학원별(일반, 산업, 교육 및 컨설팅) 신입생 학번 조회 안내",2023-08-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456518&article.offset=0&articleLimit=500
118,5717,[대학원],2022학년도 후기 대학원별 학위수여식 안내,2023-08-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456493&article.offset=0&articleLimit=500
119,5716,[장학],[근로] 2023년 2학기 국가근로장학금 2차 신청기간 안내[8.17.(목)~9.14.(목)],2023-08-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456468&article.offset=0&articleLimit=500
120,5715,[수업],2023학년도 2학기 수강지도 상담 안내,2023-08-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456421&article.offset=0&articleLimit=500
121,5714,[장학],[근로] 2023-2학기 학기 중 부서별 근로장학생 모집 알림[8. 8. ~  8. 18.](신청기간연장),2023-08-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456277&article.offset=0&articleLimit=500
122,5713,[학적],2022학년도 후기(2023년 8월 졸업) 학위수여식 안내,2023-08-03,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455994&article.offset=0&articleLimit=500
123,5712,[학적],2023학년도 후기 시간제등록생 모집 공고,2023-08-03,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455984&article.offset=0&articleLimit=500
124,5711,[수업],[학부] 2023-2학기 장애학생 우선 수강신청 안내,2023-08-02,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455869&article.offset=0&articleLimit=500
125,5710,[학적],2022학년도 후기(2023년 8월) 졸업예정자 졸업사정 내역 열람 안내,2023-08-01,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455382&article.offset=0&articleLimit=500
126,5709,[대학원],2023-2학기 특수대학원 무논문석사과정 신청 및 논문-무논문 상호변경 신청 안내,2023-07-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455370&article.offset=0&articleLimit=500
127,5708,[대학원],2023-2학기 일반대학원 석사(석박사통합)과정 수업연한 단축 신청 안내,2023-07-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455327&article.offset=0&articleLimit=500
128,5707,[대학원],2023-2학기 대학원별 주요 학사일정 안내,2023-07-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455321&article.offset=0&articleLimit=500
129,5706,[수업],2023-2학기 사회봉사 교과목 학점취득을 위한 봉사활동 실시 및 관련 서류 제출 안내,2023-07-27,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=454711&article.offset=0&articleLimit=500
130,5705,[수업],2023-2학기 조기취업자 출석인정신청서 제출 안내 ,2023-07-27,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=454677&article.offset=0&articleLimit=500
131,5704,[수업],2023-2학기 OCU(열린사이버대학교) 학점교류 수강 안내 (8/21 14시 ~18시),2023-07-27,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=454460&article.offset=0&articleLimit=500
132,5703,[수업],2023-2학기 DGU(대구·경북권역 대학원격수업)학점교류 수강 안내(8/21 11시~ 18시),2023-07-27,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=454449&article.offset=0&articleLimit=500
133,5702,[수업],2023학년도 2학기 수강꾸러미 대상 강좌(교양심화) 변경에 따른 조치 안내,2023-07-26,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=454387&article.offset=0&articleLimit=500
134,5701,[학적],★ 2023학년도 2학기 휴학/복학 신청(2차) 안내 및 직권제적/휴학연장 관련 안내,2023-07-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=454107&article.offset=0&articleLimit=500
135,5700,[장학],2023년 1학기 하계방학「한국장학재단 취업연계유형 국가근로」㈜구미텍 참여학생 모집(~7/28까지),2023-07-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=454106&article.offset=0&articleLimit=500
136,5699,[대학원],"2023학년도 2학기 대학원(일반, 산업, 교육 및 컨설팅) 수강신청 안내",2023-07-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=454058&article.offset=0&articleLimit=500
137,5698,[대학원],2023-1학기 대학원별 외국어시험 면제 신청 승인 결과 확인 안내,2023-07-24,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=453751&article.offset=0&articleLimit=500
138,5697,[대학원],2023-2학기 대학원별 수료자등록 신청 안내,2023-07-24,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=453703&article.offset=0&articleLimit=500
139,5696,[수업],[학부] 2023학년 2학기 학제간공유형 교육과정 교과 안내,2023-07-24,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=453615&article.offset=0&articleLimit=500
140,5695,[수업],"2023-2학기 다른대학(숙명여대,강릉원주대) 수학신청 안내",2023-07-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=453479&article.offset=0&articleLimit=500
141,5694,[수업],2023학년도 2학기 수강꾸러미 수강신청 안내,2023-07-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=452915&article.offset=0&articleLimit=500
142,5693,[수업],"2023-2학기 다른대학(한경국립대,한국교원대,한동대,군산대) 수학신청 안내",2023-07-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=452863&article.offset=0&articleLimit=500
143,5692,[장학],2023년 2학기 삼성드림클래스 대학생멘토 선발 안내,2023-07-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=452763&article.offset=0&articleLimit=500
144,5691,[대학원],2023학년도 2학기 대학원 휴복학 신청 안내,2023-07-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=452285&article.offset=0&articleLimit=500
145,5690,[등록],[교외대회]제 2회 KOVA 캡스톤디자인 경진대회 안내,2023-07-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=452274&article.offset=0&articleLimit=500
146,5689,[수업],"2023-2학기 다른대학(한국해양대, 한밭대,충북대,계명대) 수학신청 안내",2023-07-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=452270&article.offset=0&articleLimit=500
147,5688,[장학],2023년 서울희망 대학 진로 장학금 장학생 선발 안내,2023-07-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=452267&article.offset=0&articleLimit=500
148,5687,[장학],2023년 정읍시민장학재단 장학생 선발계획 안내,2023-07-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=452257&article.offset=0&articleLimit=500
149,5686,[등록],2023학년도 2학기 재학생 등록금 납부 안내,2023-07-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=452096&article.offset=0&articleLimit=500
150,5685,[대학원],2022학년도 후기 대학원별 학위수여(수료)예정자 성적취소 신청 안내,2023-07-14,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=451937&article.offset=0&articleLimit=500
151,5684,[수업],2023학년도 2학기 마이크로디그리 이수 신청 안내,2023-07-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=451748&article.offset=0&articleLimit=500
152,5683,[등록],2023학년도 2학기 등록금 분할납부 신청 안내,2023-07-12,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=451442&article.offset=0&articleLimit=500
153,5682,[대학원],"[2023년도 국립대학 육성사업] 대학원생 학술활동 참가비 입금완료는 ""금오톡톡""으로 안내 예정(문자메시지 발송 X, 유선안내 X)",2023-07-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=451193&article.offset=0&articleLimit=500
154,5681,[대학원],2023학년도 후기 대학원별 합격자 조회 및 고지서 출력,2023-07-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=450979&article.offset=0&articleLimit=500
155,5680,,(선착순 모집) 2023 「디자인씽킹 교육 & 창업캠프」참여자  모집 ,2023-07-10,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=450843&article.offset=0&articleLimit=500
156,5679,[대학원],"[2023년도 국립대학 육성사업] 대학원생 학술활동 참가비 ""추가"" 지원 안내(재원소진시 지원 중단예정)",2023-07-10,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=450719&article.offset=0&articleLimit=500
157,5678,[수업],"2023-2학기 다른대학(경북대,제주대,안동대,대구대,부경대) 수학신청 안내",2023-07-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=450271&article.offset=0&articleLimit=500
158,5677,[대학원],2023-1학기 대학원별 성적 확정 안내,2023-07-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=450223&article.offset=0&articleLimit=500
159,5676,[대학원],2023-1학기 대학원별 외국어시험 면제 신청 안내,2023-07-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=449694&article.offset=0&articleLimit=500
160,5675,[수업],"2023-2학기 다른대학(충남대,서울대,한양대,순천대,창원대) 수학신청 안내",2023-07-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=449684&article.offset=0&articleLimit=500
161,5674,[대학원],[장학] 2023학년도 2학기 대학원 스마일장학생(가계곤란) 선발 계획 안내(추가 설명기재) * 필독,2023-07-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=449637&article.offset=0&articleLimit=500
162,5673,[수업],2023학년도 2학기 자율도전학점제(자기주도형 활동) 참여자 모집,2023-07-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=449597&article.offset=0&articleLimit=500
163,5672,[장학],2023-2학기 보훈 및 형제자매장학금 신청안내,2023-07-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=449509&article.offset=0&articleLimit=500
164,5671,,교내 정보시스템 서비스 전체 일시 단절 안내 ('23. 7. 6. 목요일 20:00 ~ 20:30),2023-07-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=449434&article.offset=0&articleLimit=500
165,5670,[학적],2023학년도 2학기 부전공 이수신청 안내,2023-07-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=449168&article.offset=0&articleLimit=500
166,5669,[학적],2022학년도 후기(2023년 8월) 졸업예정자 추가이수과정 이수 포기(변경) 신청 안내,2023-07-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=449167&article.offset=0&articleLimit=500
167,5668,[장학],2023년 2학기 푸른등대 기부장학사업 신규장학생 선발 안내,2023-07-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=448962&article.offset=0&articleLimit=500
168,5667,[대학원],[장학] 2023학년도 2학기 대학원 스마일장학생(가계곤란) 선발 계획 안내,2023-07-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=448927&article.offset=0&articleLimit=500
169,5666,[학적],2023-2학기 재입학 안내,2023-06-30,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=448451&article.offset=0&articleLimit=500
170,5665,,[국비지원과정] 취업&실무역량강화를 위한 2D/3D캐드&3D프린터 활용 자격증 취득과정 참여자 모집,2023-06-29,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=447878&article.offset=0&articleLimit=500
171,5664,[대학원],2023학년도 후기 대학원별 구술(면접)시험 장소 안내,2023-06-29,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=447827&article.offset=0&articleLimit=500
172,5663,[대학원],2022학년도 후기 대학원별 학위논문 완성본 제출 안내,2023-06-27,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=447028&article.offset=0&articleLimit=500
173,5662,[장학],2023-2학기 외국어성적우수장학금(기준점수) 신청 안내,2023-06-26,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=446661&article.offset=0&articleLimit=500
174,5661,[장학],2023-1학기 외국어성적우수장학금(제출점수) 신청 안내,2023-06-26,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=446649&article.offset=0&articleLimit=500
175,5660,[성적],2023-1학기 (학부) 성적열람 및 정정기간 안내(만족도조사 후 조회가능),2023-06-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=445899&article.offset=0&articleLimit=500
176,5659,[학적],"★2023-2학기 휴학, 복학 신청 안내[1차] / 7.22.(토)-7.23.(일)은 신청불가",2023-06-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=445525&article.offset=0&articleLimit=500
177,5658,[학적],2023학년도 1학기 졸업자격인증제 수기사정 외국어 영역 인정 신청원 제출 안내,2023-06-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=445289&article.offset=0&articleLimit=500
178,5657,[수업],2023학년도 1학기 학부(과) 강의평가(최종) 연장 안내,2023-06-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=445127&article.offset=0&articleLimit=500
179,5656,,[메이커빌리지]  레이저 커팅기 활용 교육_개성 있는 안심 번호 차량 번호판 만들기,2023-06-20,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=444944&article.offset=0&articleLimit=500
180,5655,[수업],(6/22부터) 2023-1학기 출결사항 확인방법(전자출결 웹페이지) 안내,2023-06-20,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=444929&article.offset=0&articleLimit=500
181,5654,[장학],[근로] 2023-1학기 하계방학 집중근로 프로그램 근로장학생 선발 안내,2023-06-20,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=444596&article.offset=0&articleLimit=500
182,5653,[장학],[필독]BISKIT 비교과 마일리지 적용 여부 확인 및 자기주도활동 실적 입력 안내,2023-06-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=444491&article.offset=0&articleLimit=500
183,5652,,2023 TRIZ (창의적 문제해결 기법 ) Level Ⅰ・Ⅱ 통합 교육생 모집(선착순 선발)_선착순 40명 모집 완료!,2023-06-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=444406&article.offset=0&articleLimit=500
184,5651,[장학],2023-1학기 방학 중 근로장학생 선발 확정 알림,2023-06-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=444089&article.offset=0&articleLimit=500
185,5650,[장학],2023년도 재단법인 논산시장학회 장학생 선발 공고,2023-06-16,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=443895&article.offset=0&articleLimit=500
186,5649,,2023 창업·발명 아이디어 경진대회 개최 (재공고),2023-06-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=443364&article.offset=0&articleLimit=500
187,5648,[대학원],2022학년도 후기 대학원별 학위논문 원문파일 온라인 제출 안내,2023-06-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=443223&article.offset=0&articleLimit=500
188,5647,[장학],2023년 1학기 하계방학「한국장학재단 취업연계유형 국가근로」선발학생 안내,2023-06-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=443051&article.offset=0&articleLimit=500
189,5646,[장학],2023년 제6회 세종건축문화제 대학생 튜터 모집 안내,2023-06-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=442969&article.offset=0&articleLimit=500
190,5645,[장학],2023년 2학기 농림축산식품부 대학 장학생 선발 안내,2023-06-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=442377&article.offset=0&articleLimit=500
191,5644,[대학원],"2023-1학기 대학원별 성적열람, 정정 및 확정기간 안내",2023-06-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=442358&article.offset=0&articleLimit=500
192,5643,[학적],2022학년도 후기(2023년 8월) 학사학위취득유예(졸업유예) 신청 안내,2023-06-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=442339&article.offset=0&articleLimit=500
193,5642,[학적],2022학년도 후기(2023년 8월) 조기졸업 신청 안내,2023-06-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=442338&article.offset=0&articleLimit=500
194,5641,[대학원],2023학년도 후기 대학원 재입학 공고,2023-06-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=442328&article.offset=0&articleLimit=500
195,5640,[학적],2024학년도 전과 및 전공변경 전출입 심사기준 안내,2023-06-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=442325&article.offset=0&articleLimit=500
196,5639,[학적],2022학년도 후기(2023년 8월) 졸업예정자 교양 이수구분 변경 신청 안내,2023-06-09,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=441353&article.offset=0&articleLimit=500
197,5638,[학적],2022학년도 후기(2023년 8월) 졸업예정자 성적취소 신청 안내,2023-06-09,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=441344&article.offset=0&articleLimit=500
198,5637,[수업],금오공과대학교 「자율도전학점제」 운영 계획 안내(2023-2학기 부터 시행 예정),2023-06-09,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=441280&article.offset=0&articleLimit=500
